current_pos_x,current_pos_y,current_vel_x,current_vel_y,current_angular_vel,left_thruster,right_thruster,resulting_pos_x,resulting_pos_y,resulting_vel_x,resulting_vel_y,resulting_angular_vel
37.922222,16.577719,27.516672,-2.9479105,-1.8005165,0.009309815,0.99743986,38.380642,16.52708,27.470888,-3.0894823,-1.8073852
48.6992,37.418747,7.548239,-8.506537,0.5152711,0.62885404,0.1323292,48.824947,37.27546,7.5352993,-8.642951,0.5193708
5.0899396,17.979473,-17.11406,-19.006271,1.118744,0.9487,0.78329694,4.8048177,17.66143,-17.0862,-19.109068,1.1185338
56.489235,12.494408,-29.626705,11.061742,0.036440358,0.6377214,0.036470313,55.99566,12.677108,-29.57744,10.891326,0.042382237
17.531736,8.191195,-6.7272625,-5.1176,-0.89980936,0.4630444,0.22917168,17.41966,8.104354,-6.716094,-5.2607946,-0.8959773
20.5561,12.243061,-15.777866,-3.3060086,1.1841831,0.7317619,0.20657942,20.293243,12.186444,-15.751881,-3.4481251,1.1874559
74.22987,16.721554,-13.48904,-2.3399487,-1.5617847,0.31000552,0.0026275632,74.00514,16.680923,-13.466581,-2.4940817,-1.5561174
21.795794,29.129116,-4.678505,-6.4326057,0.8789694,0.44622502,0.69991994,21.717846,29.020447,-4.671164,-6.566066,0.87497395
73.92126,39.927452,-21.369913,17.91083,-0.5947171,0.4823251,0.61043847,73.56524,40.22433,-21.334517,17.735983,-0.5950065
63.667084,13.33013,-17.10569,7.110219,0.5602272,0.72918266,0.8536253,63.382103,13.447156,-17.077717,6.9614916,0.5580528
85.455505,7.3924885,2.005349,16.688118,-0.9461121,0.39118135,0.47656518,85.48892,7.668956,2.001878,16.511559,-0.9453904
45.16236,8.189475,-8.6609125,-18.051828,-0.034859367,0.28152755,0.22422469,45.018074,7.8871226,-8.646711,-18.176609,-0.034229282
70.651505,30.185684,-24.823347,6.104877,0.20678537,0.98843247,0.8253183,70.237946,30.286001,-24.782822,5.9616594,0.20806976
11.551865,9.723855,-1.899222,-8.098328,-0.84114605,0.8834461,0.14198259,11.52022,9.587415,-1.8964404,-8.231022,-0.83234435
10.089936,34.918797,-23.473148,29.423927,-0.19596484,0.42904624,0.88303006,9.698872,35.407516,-23.434877,29.233559,-0.2001711
29.265335,28.791294,-13.964102,27.85409,-0.18864483,0.79181916,0.74245393,29.032686,29.2539,-13.941873,27.670027,-0.18783812
36.656013,16.926924,2.501829,-12.466765,0.31284901,0.70427096,0.110899426,36.697685,16.71767,2.4970891,-12.595698,0.3182523
73.76557,44.623104,14.839293,-10.349601,-1.7370259,0.6621781,0.2981214,74.012794,44.449146,14.814008,-10.479642,-1.7305014
76.46633,40.301247,24.254549,22.94671,0.25403622,0.8441924,0.31539285,76.87039,40.68203,24.212914,22.764551,0.25889271
58.25331,21.10341,-17.700823,26.303453,-1.268115,0.06422445,0.19873856,57.95842,21.53996,-17.671646,26.100826,-1.267348
84.80733,17.913473,-8.224796,-3.9345891,-1.8320649,0.9939283,0.7322077,84.67028,17.846521,-8.213495,-4.0626483,-1.8264036
3.4329376,17.90941,-10.414938,11.434364,1.6018492,0.7405766,0.78939617,3.2593975,18.098467,-10.400492,11.277405,1.5986965
9.930957,42.194374,-14.744113,2.0711846,-0.13102378,0.680194,0.22402658,9.68531,42.227333,-14.720887,1.919499,-0.12625167
69.57008,2.3116145,-15.0081415,14.318161,-0.36532846,0.60981107,0.18083823,69.32004,2.5485854,-14.984339,14.144213,-0.36043805
